10-1075,P35498-P14867,1BYY-5OSA,DB00273,Identity:36/1589(2.3%),N/A,N/A,N/A,N/A,N/A,N/A
1005-1071,P47869-P14867,5O8F-5OSA,DB00231,Identity:834/2392(34.9%),N/A,N/A,N/A,N/A,N/A,N/A
1005-1072,P47869-P14867,5O8F-5OSA,DB00231,Identity:834/2392(34.9%),N/A,N/A,N/A,N/A,N/A,N/A
1005-187,P47869-P48169,5O8F-1VRY,DB00231,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
1005-189,P47869-P48169,5O8F-1VRY,DB00231,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
1005-190,P47869-Q16445,5O8F-1VRY,DB00231,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
1005-606,P47869-P28472,5O8F-4COF,DB00231,Identity:1386/2290(60.5%),N/A,N/A,N/A,N/A,N/A,N/A
1005-608,P47869-P18505,5O8F-4COF,DB00231,Identity:1386/2290(60.5%),N/A,N/A,N/A,N/A,N/A,N/A
1005-610,P47869-P28472,5O8F-4COF,DB00231,Identity:1386/2290(60.5%),N/A,N/A,N/A,N/A,N/A,N/A
1006-1071,P47869-P14867,5O8F-5OSA,DB00231,Identity:834/2392(34.9%),N/A,N/A,N/A,N/A,N/A,N/A
1006-1072,P47869-P14867,5O8F-5OSA,DB00231,Identity:834/2392(34.9%),N/A,N/A,N/A,N/A,N/A,N/A
1006-188,P47869-Q16445,5O8F-1VRY,DB00231,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
1006-606,P47869-P28472,5O8F-4COF,DB00231,Identity:1386/2290(60.5%),N/A,N/A,N/A,N/A,N/A,N/A
1007-1074,P47869-P14867,5O8F-5OSA,DB00599,Identity:834/2392(34.9%),N/A,N/A,N/A,N/A,N/A,N/A
1008-1077,P47869-P14867,5O8F-5OSA,DB00897,Identity:834/2392(34.9%),N/A,N/A,N/A,N/A,N/A,N/A
1008-1078,P47869-P14867,5O8F-5OSA,DB00897,Identity:834/2392(34.9%),N/A,N/A,N/A,N/A,N/A,N/A
1008-195,P47869-P48169,5O8F-1VRY,DB00897,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
1008-196,P47869-Q16445,5O8F-1VRY,DB00897,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
1008-613,P47869-P47870,5O8F-4COF,DB00897,Identity:1386/2290(60.5%),N/A,N/A,N/A,N/A,N/A,N/A
1008-614,P47869-P18505,5O8F-4COF,DB00897,Identity:1386/2290(60.5%),N/A,N/A,N/A,N/A,N/A,N/A
1008-616,P47869-P28472,5O8F-4COF,DB00897,Identity:1386/2290(60.5%),N/A,N/A,N/A,N/A,N/A,N/A
1009-1008,P47869-P47869,5O8F-5O8F,DB00897,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1009-1077,P47869-P14867,5O8F-5OSA,DB00897,Identity:834/2392(34.9%),N/A,N/A,N/A,N/A,N/A,N/A
1009-1078,P47869-P14867,5O8F-5OSA,DB00897,Identity:834/2392(34.9%),N/A,N/A,N/A,N/A,N/A,N/A
1009-193,P47869-P48169,5O8F-1VRY,DB00897,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
1009-612,P47869-P28472,5O8F-4COF,DB00897,Identity:1386/2290(60.5%),N/A,N/A,N/A,N/A,N/A,N/A
1009-613,P47869-P47870,5O8F-4COF,DB00897,Identity:1386/2290(60.5%),N/A,N/A,N/A,N/A,N/A,N/A
1009-614,P47869-P18505,5O8F-4COF,DB00897,Identity:1386/2290(60.5%),N/A,N/A,N/A,N/A,N/A,N/A
1009-615,P47869-P47870,5O8F-4COF,DB00897,Identity:1386/2290(60.5%),N/A,N/A,N/A,N/A,N/A,N/A
1009-616,P47869-P28472,5O8F-4COF,DB00897,Identity:1386/2290(60.5%),N/A,N/A,N/A,N/A,N/A,N/A
101-410,P23219-P37231,1Q4G-3DZY,DB00795,Identity:69/1486(4.6%),N/A,N/A,N/A,N/A,N/A,N/A
101-516,P23219-P09917,1Q4G-3V98,DB00795,Identity:258/1683(15.3%),N/A,N/A,N/A,N/A,N/A,N/A
101-879,P23219-P35354,1Q4G-5F19,DB00795,Identity:702/1106(63.5%),N/A,N/A,N/A,N/A,N/A,N/A
1011-540,P14867-P18505,5OSA-4COF,DB00546,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1011-541,P14867-P28472,5OSA-4COF,DB00546,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1011-542,P14867-P47870,5OSA-4COF,DB00546,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1012-963,P14867-P47869,5OSA-5O8F,DB01351,Identity:834/2392(34.9%),N/A,N/A,N/A,N/A,N/A,N/A
1013-133,P14867-P48169,5OSA-1VRY,DB01352,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1014-135,P14867-P48169,5OSA-1VRY,DB01483,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1015-138,P14867-Q16445,5OSA-1VRY,DB01496,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1015-966,P14867-P47869,5OSA-5O8F,DB01496,Identity:834/2392(34.9%),N/A,N/A,N/A,N/A,N/A,N/A
1016-139,P14867-P48169,5OSA-1VRY,DB01558,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1016-140,P14867-Q16445,5OSA-1VRY,DB01558,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1016-543,P14867-P18505,5OSA-4COF,DB01558,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1016-544,P14867-P28472,5OSA-4COF,DB01558,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1016-545,P14867-P47870,5OSA-4COF,DB01558,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1017-143,P14867-P48169,5OSA-1VRY,DB00241,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1018-1017,P14867-P14867,5OSA-5OSA,DB00241,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1018-141,P14867-P48169,5OSA-1VRY,DB00241,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1018-142,P14867-Q16445,5OSA-1VRY,DB00241,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1018-143,P14867-P48169,5OSA-1VRY,DB00241,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1018-144,P14867-Q16445,5OSA-1VRY,DB00241,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1018-968,P14867-P47869,5OSA-5O8F,DB00241,Identity:834/2392(34.9%),N/A,N/A,N/A,N/A,N/A,N/A
1018-969,P14867-P47869,5OSA-5O8F,DB00241,Identity:834/2392(34.9%),N/A,N/A,N/A,N/A,N/A,N/A
1019-145,P14867-P48169,5OSA-1VRY,DB01353,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1020-971,P14867-P47869,5OSA-5O8F,DB01594,Identity:834/2392(34.9%),N/A,N/A,N/A,N/A,N/A,N/A
1021-549,P14867-P18505,5OSA-4COF,DB01559,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1021-972,P14867-P47869,5OSA-5O8F,DB01559,Identity:834/2392(34.9%),N/A,N/A,N/A,N/A,N/A,N/A
1022-1023,P14867-P14867,5OSA-5OSA,DB00829,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1022-552,P14867-P18505,5OSA-4COF,DB00829,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1022-555,P14867-P18505,5OSA-4COF,DB00829,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1022-557,P14867-P28472,5OSA-4COF,DB00829,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1022-973,P14867-P47869,5OSA-5O8F,DB00829,Identity:834/2392(34.9%),N/A,N/A,N/A,N/A,N/A,N/A
1022-974,P14867-P47869,5OSA-5O8F,DB00829,Identity:834/2392(34.9%),N/A,N/A,N/A,N/A,N/A,N/A
1023-552,P14867-P18505,5OSA-4COF,DB00829,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1023-554,P14867-P47870,5OSA-4COF,DB00829,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1023-556,P14867-P47870,5OSA-4COF,DB00829,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1023-973,P14867-P47869,5OSA-5O8F,DB00829,Identity:834/2392(34.9%),N/A,N/A,N/A,N/A,N/A,N/A
1024-1025,P14867-P14867,5OSA-5OSA,DB01215,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1024-559,P14867-P28472,5OSA-4COF,DB01215,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1024-562,P14867-P47870,5OSA-4COF,DB01215,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1025-558,P14867-P18505,5OSA-4COF,DB01215,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1025-559,P14867-P28472,5OSA-4COF,DB01215,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1025-976,P14867-P47869,5OSA-5O8F,DB01215,Identity:834/2392(34.9%),N/A,N/A,N/A,N/A,N/A,N/A
1026-275,P14867-P30536,5OSA-2MGY,DB00402,Identity:364/3647(10.0%),N/A,N/A,N/A,N/A,N/A,N/A
1027-1026,P14867-P14867,5OSA-5OSA,DB00402,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1027-275,P14867-P30536,5OSA-2MGY,DB00402,Identity:364/3647(10.0%),N/A,N/A,N/A,N/A,N/A,N/A
1029-1030,P14867-P14867,5OSA-5OSA,DB00292,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1029-47,P14867-P18089,5OSA-1HLL,DB00292,Identity:8/1565(0.5%),N/A,N/A,N/A,N/A,N/A,N/A
103-881,P23219-P35354,1Q4G-5F19,DB01600,Identity:702/1106(63.5%),N/A,N/A,N/A,N/A,N/A,N/A
1031-565,P14867-P28472,5OSA-4COF,DB01567,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1031-566,P14867-P47870,5OSA-4COF,DB01567,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1031-977,P14867-P47869,5OSA-5O8F,DB01567,Identity:834/2392(34.9%),N/A,N/A,N/A,N/A,N/A,N/A
1032-1033,P14867-P14867,5OSA-5OSA,DB01205,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1034-149,P14867-P48169,5OSA-1VRY,DB00690,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1034-567,P14867-P18505,5OSA-4COF,DB00690,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1034-569,P14867-P47870,5OSA-4COF,DB00690,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1034-979,P14867-P47869,5OSA-5O8F,DB00690,Identity:834/2392(34.9%),N/A,N/A,N/A,N/A,N/A,N/A
1036-1035,P14867-P14867,5OSA-5OSA,DB01437,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1037-1038,P14867-P14867,5OSA-5OSA,DB00801,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1037-572,P14867-P18505,5OSA-4COF,DB00801,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1037-574,P14867-P47870,5OSA-4COF,DB00801,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1037-575,P14867-P18505,5OSA-4COF,DB00801,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1037-577,P14867-P28472,5OSA-4COF,DB00801,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1037-980,P14867-P47869,5OSA-5O8F,DB00801,Identity:834/2392(34.9%),N/A,N/A,N/A,N/A,N/A,N/A
1038-574,P14867-P47870,5OSA-4COF,DB00801,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1038-576,P14867-P47870,5OSA-4COF,DB00801,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1038-981,P14867-P47869,5OSA-5O8F,DB00801,Identity:834/2392(34.9%),N/A,N/A,N/A,N/A,N/A,N/A
104-105,P22460-Q16322,1QDV-1QDV,DB06637,N/A,N/A,N/A,N/A,N/A,N/A,N/A
104-4,P22460-Q96RP8,1QDV-1A68,DB06637,Identity:77/396(19.4%),N/A,N/A,N/A,N/A,N/A,N/A
104-447,P22460-P48547,1QDV-3KVT,DB06637,Identity:39/405(9.6%),N/A,N/A,N/A,N/A,N/A,N/A
104-449,P22460-Q14003,1QDV-3KVT,DB06637,Identity:39/405(9.6%),N/A,N/A,N/A,N/A,N/A,N/A
1040-983,P14867-P47869,5OSA-5O8F,DB01355,Identity:834/2392(34.9%),N/A,N/A,N/A,N/A,N/A,N/A
1041-503,P14867-P42261,5OSA-3SAJ,DB00753,Identity:311/1967(15.8%),N/A,N/A,N/A,N/A,N/A,N/A
1042-1041,P14867-P14867,5OSA-5OSA,DB00753,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1044-1045,P14867-P14867,5OSA-5OSA,DB00371,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1044-155,P14867-P48169,5OSA-1VRY,DB00371,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1044-157,P14867-P48169,5OSA-1VRY,DB00371,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1044-984,P14867-P47869,5OSA-5O8F,DB00371,Identity:834/2392(34.9%),N/A,N/A,N/A,N/A,N/A,N/A
1044-985,P14867-P47869,5OSA-5O8F,DB00371,Identity:834/2392(34.9%),N/A,N/A,N/A,N/A,N/A,N/A
1045-155,P14867-P48169,5OSA-1VRY,DB00371,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1045-156,P14867-Q16445,5OSA-1VRY,DB00371,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1045-985,P14867-P47869,5OSA-5O8F,DB00371,Identity:834/2392(34.9%),N/A,N/A,N/A,N/A,N/A,N/A
1046-1047,P14867-P14867,5OSA-5OSA,DB00463,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1046-159,P14867-P48169,5OSA-1VRY,DB00463,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1046-160,P14867-Q16445,5OSA-1VRY,DB00463,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1046-161,P14867-P48169,5OSA-1VRY,DB00463,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1046-162,P14867-Q16445,5OSA-1VRY,DB00463,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1046-987,P14867-P47869,5OSA-5O8F,DB00463,Identity:834/2392(34.9%),N/A,N/A,N/A,N/A,N/A,N/A
1047-159,P14867-P48169,5OSA-1VRY,DB00463,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1047-160,P14867-Q16445,5OSA-1VRY,DB00463,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1047-161,P14867-P48169,5OSA-1VRY,DB00463,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1047-986,P14867-P47869,5OSA-5O8F,DB00463,Identity:834/2392(34.9%),N/A,N/A,N/A,N/A,N/A,N/A
1048-504,P14867-P42261,5OSA-3SAJ,DB01028,Identity:311/1967(15.8%),N/A,N/A,N/A,N/A,N/A,N/A
1049-1048,P14867-P14867,5OSA-5OSA,DB01028,N/A,N/A,N/A,N/A,N/A,N/A,N/A
105-106,Q16322-P22459,1QDV-1QDW,DB06637,Identity:348/744(46.8%),N/A,N/A,N/A,N/A,N/A,N/A
105-107,Q16322-P17658,1QDV-1QDW,DB06637,Identity:348/744(46.8%),N/A,N/A,N/A,N/A,N/A,N/A
105-111,Q16322-Q9NSA2,1QDV-1S1G,DB06637,Identity:69/413(16.7%),N/A,N/A,N/A,N/A,N/A,N/A
105-4,Q16322-Q96RP8,1QDV-1A68,DB06637,Identity:77/396(19.4%),N/A,N/A,N/A,N/A,N/A,N/A
105-447,Q16322-P48547,1QDV-3KVT,DB06637,Identity:39/405(9.6%),N/A,N/A,N/A,N/A,N/A,N/A
1050-163,P14867-P48169,5OSA-1VRY,DB00849,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1050-988,P14867-P47869,5OSA-5O8F,DB00849,Identity:834/2392(34.9%),N/A,N/A,N/A,N/A,N/A,N/A
1051-1052,P14867-P14867,5OSA-5OSA,DB01107,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1053-166,P14867-Q16445,5OSA-1VRY,DB00683,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1053-581,P14867-P47870,5OSA-4COF,DB00683,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1053-989,P14867-P47869,5OSA-5O8F,DB00683,Identity:834/2392(34.9%),N/A,N/A,N/A,N/A,N/A,N/A
1054-168,P14867-Q16445,5OSA-1VRY,DB01595,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1054-582,P14867-P18505,5OSA-4COF,DB01595,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1054-583,P14867-P28472,5OSA-4COF,DB01595,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1054-584,P14867-P47870,5OSA-4COF,DB01595,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1055-169,P14867-P48169,5OSA-1VRY,DB00842,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1055-170,P14867-Q16445,5OSA-1VRY,DB00842,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1055-171,P14867-P48169,5OSA-1VRY,DB00842,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1055-585,P14867-P18505,5OSA-4COF,DB00842,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1055-587,P14867-P47870,5OSA-4COF,DB00842,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1055-588,P14867-P18505,5OSA-4COF,DB00842,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1055-589,P14867-P47870,5OSA-4COF,DB00842,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1055-991,P14867-P47869,5OSA-5O8F,DB00842,Identity:834/2392(34.9%),N/A,N/A,N/A,N/A,N/A,N/A
1056-1055,P14867-P14867,5OSA-5OSA,DB00842,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1056-170,P14867-Q16445,5OSA-1VRY,DB00842,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1056-171,P14867-P48169,5OSA-1VRY,DB00842,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1056-587,P14867-P47870,5OSA-4COF,DB00842,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1056-588,P14867-P18505,5OSA-4COF,DB00842,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1056-589,P14867-P47870,5OSA-4COF,DB00842,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1056-991,P14867-P47869,5OSA-5O8F,DB00842,Identity:834/2392(34.9%),N/A,N/A,N/A,N/A,N/A,N/A
1056-992,P14867-P47869,5OSA-5O8F,DB00842,Identity:834/2392(34.9%),N/A,N/A,N/A,N/A,N/A,N/A
1057-1058,P14867-P14867,5OSA-5OSA,DB00312,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1057-173,P14867-P48169,5OSA-1VRY,DB00312,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1057-174,P14867-Q16445,5OSA-1VRY,DB00312,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1057-175,P14867-P48169,5OSA-1VRY,DB00312,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1057-176,P14867-Q16445,5OSA-1VRY,DB00312,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1057-993,P14867-P47869,5OSA-5O8F,DB00312,Identity:834/2392(34.9%),N/A,N/A,N/A,N/A,N/A,N/A
1057-994,P14867-P47869,5OSA-5O8F,DB00312,Identity:834/2392(34.9%),N/A,N/A,N/A,N/A,N/A,N/A
1058-173,P14867-P48169,5OSA-1VRY,DB00312,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1058-993,P14867-P47869,5OSA-5O8F,DB00312,Identity:834/2392(34.9%),N/A,N/A,N/A,N/A,N/A,N/A
1059-594,P14867-P18505,5OSA-4COF,DB01588,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1059-595,P14867-P47870,5OSA-4COF,DB01588,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1059-596,P14867-P28472,5OSA-4COF,DB01588,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1059-996,P14867-P47869,5OSA-5O8F,DB01588,Identity:834/2392(34.9%),N/A,N/A,N/A,N/A,N/A,N/A
106-104,P22459-P22460,1QDW-1QDV,DB06637,Identity:348/744(46.8%),N/A,N/A,N/A,N/A,N/A,N/A
106-449,P22459-Q14003,1QDW-3KVT,DB06637,Identity:37/712(5.2%),N/A,N/A,N/A,N/A,N/A,N/A
1060-1059,P14867-P14867,5OSA-5OSA,DB01588,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1060-592,P14867-P28472,5OSA-4COF,DB01588,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1060-593,P14867-P47870,5OSA-4COF,DB01588,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1060-595,P14867-P47870,5OSA-4COF,DB01588,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1060-596,P14867-P28472,5OSA-4COF,DB01588,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1060-995,P14867-P47869,5OSA-5O8F,DB01588,Identity:834/2392(34.9%),N/A,N/A,N/A,N/A,N/A,N/A
1061-177,P14867-P48169,5OSA-1VRY,DB00794,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1061-179,P14867-P48169,5OSA-1VRY,DB00794,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1061-180,P14867-Q16445,5OSA-1VRY,DB00794,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1061-997,P14867-P47869,5OSA-5O8F,DB00794,Identity:834/2392(34.9%),N/A,N/A,N/A,N/A,N/A,N/A
1061-998,P14867-P47869,5OSA-5O8F,DB00794,Identity:834/2392(34.9%),N/A,N/A,N/A,N/A,N/A,N/A
1062-1061,P14867-P14867,5OSA-5OSA,DB00794,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1062-178,P14867-Q16445,5OSA-1VRY,DB00794,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1062-998,P14867-P47869,5OSA-5O8F,DB00794,Identity:834/2392(34.9%),N/A,N/A,N/A,N/A,N/A,N/A
1063-1000,P14867-P47869,5OSA-5O8F,DB01589,Identity:834/2392(34.9%),N/A,N/A,N/A,N/A,N/A,N/A
1063-1064,P14867-P14867,5OSA-5OSA,DB01589,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1063-601,P14867-P18505,5OSA-4COF,DB01589,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1063-603,P14867-P18505,5OSA-4COF,DB01589,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1063-999,P14867-P47869,5OSA-5O8F,DB01589,Identity:834/2392(34.9%),N/A,N/A,N/A,N/A,N/A,N/A
1064-602,P14867-P28472,5OSA-4COF,DB01589,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1064-603,P14867-P18505,5OSA-4COF,DB01589,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1066-1002,P14867-P47869,5OSA-5O8F,DB00418,Identity:834/2392(34.9%),N/A,N/A,N/A,N/A,N/A,N/A
1066-181,P14867-P48169,5OSA-1VRY,DB00418,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1066-182,P14867-Q16445,5OSA-1VRY,DB00418,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1068-1067,P14867-P14867,5OSA-5OSA,DB01236,N/A,N/A,N/A,N/A,N/A,N/A,N/A
